surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
no,adult,530101,38.5,66.0,28.0,cool,reduced,normal_pink,more_3_sec,extreme_pain,absent,severe,slight,none,5.0,decreased,distend_large,45.0,8.4,cloudy,2.3,died,no,11300,0,0,no
yes,adult,534817,39.2,88.0,20.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,none,5.0,absent,other,50.0,85.0,cloudy,2.0,euthanized,no,2208,0,0,no
no,adult,530334,38.3,40.0,24.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,normal,normal,33.0,6.7,cloudy,2.3,lived,no,0,0,0,yes
yes,young,5290409,39.1,164.0,84.0,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,none,less_1_liter,5.0,decreased,distend_large,48.0,7.2,serosanguious,5.3,died,yes,2208,0,0,yes
no,adult,530255,37.3,104.0,35.0,cool,normal,dark_cyanotic,more_3_sec,mild_pain,hypomotile,none,slight,none,5.0,absent,distend_large,74.0,7.4,cloudy,2.3,died,no,4300,0,0,no
no,adult,528355,38.2,64.0,25.0,warm,normal,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,none,5.0,decreased,firm,45.0,7.5,cloudy,2.3,lived,no,0,0,0,no
yes,adult,526802,37.9,48.0,16.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,5.0,decreased,distend_large,37.0,7.0,cloudy,2.3,lived,yes,3124,0,0,no
yes,adult,529607,38.2,60.0,25.0,cool,normal,normal_pink,less_3_sec,mild_pain,absent,slight,slight,none,5.0,decreased,distend_small,44.0,8.3,cloudy,2.3,died,yes,2208,0,0,no
no,adult,530051,38.2,80.0,36.0,cool,absent,pale_pink,less_3_sec,severe_pain,absent,severe,slight,none,5.0,decreased,distend_large,38.0,6.2,cloudy,2.3,euthanized,yes,3205,0,0,no
no,young,5299629,38.3,90.0,25.0,normal,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,decreased,distend_large,40.0,6.2,clear,2.2,lived,no,0,0,0,yes
yes,adult,528548,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.0,increased,distend_large,44.0,6.0,cloudy,3.6,lived,yes,2124,0,0,yes
no,adult,527927,39.1,72.0,52.0,warm,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,none,none,5.0,absent,distend_small,50.0,7.8,cloudy,2.3,lived,yes,2111,0,0,no
yes,adult,528031,37.2,42.0,12.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,5.0,absent,distend_large,45.0,7.0,cloudy,2.3,lived,no,4124,0,0,no
no,young,5291329,38.0,92.0,28.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,none,7.2,normal,normal,37.0,6.1,clear,2.3,died,no,0,0,0,yes
yes,adult,534917,38.2,76.0,28.0,cool,normal,normal_pink,less_3_sec,mild_pain,absent,none,slight,less_1_liter,5.0,absent,distend_small,46.0,81.0,clear,2.0,lived,yes,2112,0,0,no
yes,adult,530233,37.6,96.0,48.0,cool,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_large,45.0,6.8,cloudy,2.3,died,yes,3207,0,0,no
yes,young,5301219,38.2,128.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,significant,none,5.0,absent,distend_large,53.0,7.8,serosanguious,4.7,died,no,1400,0,0,yes
